name,class,primary_fuel_type,generation_MW,generator_number,suburb,state,longitude,latitude,generation_type
Esperance,Non Renewable,Natural Gas,33,7,West Beach,Western Australia,121.8998,-33.8762,
Karratha,Non Renewable,Natural Gas,86,2,Stove Hill,Western Australia,116.837473,-20.762567,
Kwinana (Alcoa Refinery),Non Renewable,Natural Gas,74.5,7,Naval Base,Western Australia,115.779676,-32.194635,
Kwinana,Non Renewable,Natural Gas,21,1,Naval Base,Western Australia,115.7759455,-32.19700264,Gas Turbine
Kwinana NewGen,Non Renewable,Natural Gas,320,1,Naval Base,Western Australia,115.772821,-32.20198,Combined Cycle Gas Turbine
Kwinana Swift,Non Renewable,Natural Gas,120,4,Kwinana Beach,Western Australia,115.7782769,-32.22425833,
Neerabup,Non Renewable,Natural Gas,330,7,Neerabup,Western Australia,115.802149,-31.67125,
Newman Iron Ore Mine,Non Renewable,Natural Gas,170,4,Newman,Western Australia,119.708587,-23.344275,
Pinjarra Bauxite Mine and Alumina Refinery,Non Renewable,Natural Gas,280,2,Oakley,Western Australia,115.946894,-32.647303,
Ravensthorpe,Non Renewable,Distillate,56,,Jerdacuttup,Western Australia,120.36,-33.61,
Wagerup Bauxite Mine and Alumina Refinery,Non Renewable,Natural Gas,98,4,Wagerup,Western Australia,115.916995,-32.914495,
West Kalgoorlie,Non Renewable,Distillate,60,2,Yilkari,Western Australia,121.423355,-30.780635,
Port Hedland,Non Renewable,Natural Gas,126,3,Boodarie,Western Australia,118.5498,-20.4283,
Mount Magnet,Non Renewable,Natural Gas,1.9,,Mount Magnet,Western Australia,117.832711,-28.08708434,
Kalgoorlie Nickel Smelter,Non Renewable,Natural Gas,42,1,Feysville,Western Australia,121.484188,-30.873669,
Kambalda,Non Renewable,Natural Gas,42,1,Kambalda East,Western Australia,121.6740843,-31.19193479,
Leinster Nickel Mine,Non Renewable,Natural Gas,59,1,Leinster,Western Australia,120.6989963,-27.81412138,
Mount Keith Nickel Mine,Non Renewable,Natural Gas,112,2,Wiluna,Western Australia,120.547979,-27.214583,
Muja C,Non Renewable,Coal,400,2,Muja,Western Australia,116.3061833,-33.44604657,Steam Subcritical
Worsley Cogeneration,Non Renewable,Natural Gas,106,2,Worsley,Western Australia,116.0637377,-33.2365459,
Laverton (Granny Smith Gold Mine),Non Renewable,Distillate,30.6,10,Laverton,Western Australia,122.415029,-28.809649,
Argyle Diamond Mine,Non Renewable,Distillate,32,,Lake Argyle,Western Australia,128.40308,-16.716157,
Christmas Creek Iron Ore Mine,Non Renewable,Distillate,58,,Newman,Western Australia,119.732,-22.399,Spark Ignition Reciprocating Engine
Jundee Gold Mine,Non Renewable,Natural Gas,21,6,Wiluna,Western Australia,120.577613,-26.371212,Spark Ignition Reciprocating Engine
Murrin Murrin (Nickel Mine),Non Renewable,Natural Gas,78,3,Leonora,Western Australia,121.32929,-28.923754,
Plutonic Gold Mine,Non Renewable,Natural Gas,28,4,Kumarina,Western Australia,119.450757,-25.311002,
